id,url,title,subtitle,publication,date
1,https://blog.coinbase.com/ethereum-classic-etc-is-currently-being-51-attacked-33be13ce32de,Ethereum Classic (ETC) is currently being 51% attacked,"On  1/5/2019, Coinbase detected a deep reorg of…",The Coinbase Blog,2019-01-25
2,https://blog.coinbase.com/the-keys-to-keeping-your-crypto-safe-96d497cce6cf,The keys to keeping your crypto safe,One of the primary benefits of cryptocurrencies is that they…,The Coinbase Blog,2019-01-25
3,https://blog.coinbase.com/supercharging-retrofit-with-kotlin-f01096ad8aa7,Supercharging Retrofit with Kotlin,,The Coinbase Blog,2019-01-25
4,https://blog.coinbase.com/what-we-accomplished-at-coinbase-in-q4-2018-b98082e72abc,"<strong class=""markup--strong markup--h3-strong"">What we accomplished at Coinbase in Q4 2018</strong>",,The Coinbase Blog,2019-01-25
5,https://blog.coinbase.com/blockchain-infrastructure-at-coinbase-366c09dbcef4,"<strong class=""markup--strong markup--h3-strong"">Blockchain Infrastructure at Coinbase</strong>",,The Coinbase Blog,2019-01-25
6,https://blog.coinbase.com/new-resources-for-crypto-taxes-b29651c3f5d4,"<strong class=""markup--strong markup--h3-strong"">New resources for crypto taxes</strong>",,The Coinbase Blog,2019-01-25
7,https://blog.coinbase.com/introducing-the-coinbase-affiliate-program-d3cfdf9de451,"<strong class=""markup--strong markup--h3-strong"">Introducing the Coinbase affiliate program</strong>",Get rewarded for sharing your love of crypto,The Coinbase Blog,2019-01-25
8,https://blog.coinbase.com/announcing-new-features-and-services-to-make-trading-easier-for-high-volume-customers-in-asia-and-57a30ad08e2f,"<strong class=""markup--strong markup--h3-strong"">Announcing new features and services to make trading easier for high-volume customers in Asia and Europe</strong>",,The Coinbase Blog,2019-01-25
9,https://blog.coinbase.com/coinbase-now-providing-trading-and-custody-services-to-high-volume-clients-across-asia-17097e1005eb,"<strong class=""markup--strong markup--h3-strong"">Coinbase now providing trading and custody services to high-volume clients across Asia</strong>",,The Coinbase Blog,2019-01-25
10,https://blog.coinbase.com/ethereum-classic-etc-is-currently-being-51-attacked-33be13ce32de,Ethereum Classic (ETC) is currently being 51% attacked,"On  1/5/2019, Coinbase detected a deep reorg of…",The Coinbase Blog,2019-01-26
